,id,name,description,languages,publisher
949,7CZSsKLlYboqOkGA63Zgax,SimpleMoney,"Financial planner Dawn Starks combines her love of personal finance with her passion for simple living.  People often find personal finance complex and intimidating, but it doesn’t have to be.  Listen in to find ways to make your financial life simpler.",['en'],Dawn Starks
951,7jSxMMnDwITWFIT2Ghu0CU,Vital Money,"Alaina is a single woman trying to navigate adulting and getting her money life together. Diving into her own debt-free journey of paying off $100k of loans, each Thursday she will bring motivating, fun and transparent conversations around money and personal development to prove that you too, can do bad all by yourself.    Vital Money is real. It’s relatable. And it’s an inspiring space for ambitious folks who want to truly create the life they love one coin (and maybe glass of wine) at a time. If you want to level up in personal finances, singleness, career, self-development, wealth building and sanity, then this is the pod for you, boo!",['en'],Alaina Curry
952,0xcdx11u2pu1GE1m5eZgYq,She's Boss Podcast,"Discussing all the things to help women boss up in Business, Personal Finance and Wellness. Email all questions, topic suggestions and business inquiries to shesbossco@gmail.com.",['en'],She's Boss Co
953,4QaZhwc4HjtBaOiMtquFXZ,Personal finance Podcast,I will teach you to know your earning potential.,['en'],Scott D. Daniels
954,4tu4DcuUof3RnOWpoqFIeO,Ed Saucedo’s Road To Greatness Podcast,"Podcast hosted by Ed Saucedo, a developing entrepreneur, baseball player, and stock market investor. The podcasts will mainly include conversations and interviews about entrepreneurship, investing, personal finance, mentality, and motivation!",['en-US'],Ed Saucedo
955,1pP8tyed1aIcEHI5RGBhzV,A Leader By Example,"As a father, coach, and teacher, I strive to be a role model and lead a life of example. A Leader By Example Podcast is a place to explore what it means to be a leader and example for those around you. It isn't a podcast teaching you how to be a leader in business, but rather a leader at home. Together we can build healthy eating habits, improve overall fitness, and better manage personal finance. Everyone works hard, let's focus our efforts on the things that matter.   Find me Blog: https://aleaderbyexample.com/ Facebook: https://www.facebook.com/aleaderbyexample/ Twitter: https://twitter.com/leader_by",['en'],CD Johnson
956,6ZmkNr02eUgGWsEc6812AO,Financial Endurance,"Podcast discussing general personal financial topics, investment strategies, financial education. You're here for the long haul; play the long game.",['en'],Sergio Garcia PhD
957,2Wucdm4CtTc1RMsouvaQ13,"Tractionist: Money,Tech & Startups","Tractionist is an Indian channel for tricks and hacks on personal finance through smart investments or savings, while you also get some great insight on the latest tech in the fields of Artificial Intelligence(AI), Automation,Blockchain, Crypto currencies and fintech. The Indian startup ecosystem has been growing at exponential pace,So we provide a birds eye view on this ecosystem & interview some great people in the industry.",['en-US'],Ashrith Govind
958,4BA0phtUD1V68pyCYMVIXh,The Work Remix with Lindsey Pollak,"The Work Remix with Lindsey Pollak offers a positive approach to personal and organizational change that combines classic business practices from the past with modern ways of working. In today’s fast-paced, high tech, multigenerational work environment, we all must be remixers to succeed.   Each episode will answer your questions about thriving in the workplace of today and tomorrow.    Host Lindsey Pollak is a New York Times bestselling author and the leading expert on Millennials and today’s multigenerational workplace. Lindsey’s latest book The Remix has been recognized by both The Financial Times and The Wall Street Journal as a Book of the Month. Her speaking audiences and clients have included over 250 organizations including Aetna, Citi, Estee Lauder, GE, Goldman Sachs, Google, JP Morgan, LinkedIn, PwC, Yale, Wharton and Stanford.   Her advice and opinions have appeared in such media outlets as The TODAY Show, The New York Times, The Wall Street Journal, CNBC and NPR. Forbes named her blog one of the Top 100 Websites for Your Career.  If you have a question for Lindsey, you can send it to podcast@theworkremix.com",['en'],Lindsey Pollak
959,6SmTRgVbH5g63PkjNfxvF8,Money Talks on TEA Project: A Family Podcast,"This is Money Talks on TEA Project: A Family Podcast. Your hosts, Gadiel and Michelle Espinoza. A husband and wife duo, where they discuss Personal Finances, Managing a Household, and so much more. Gadiel is a father, husband, a Military Veteran, and a Lawyer. Michelle is a mother, wife, BOSS, and above all, a productivity ENTHUSIAST!!! She is also a Certified Public Accountant and a financial director for a large corporation.Each week they will be providing you with fresh and valuable content. So, stay tuned, and enjoy.",['en-US'],Gadiel and Michelle Espinoza
960,32lA6FGQPGhEcLOKQyTPLt,Conscious Wealth,"General World News, Financial topics, Cryptocurrencies, Precious Metals, Education, Personal Growth, Consciousness, Conscious Awakening, Stay woke",['en-US'],Just.leo.things
961,7BdKsfqaHPEV3Ns7YDnmpv,Real Money Stories Podcast,Join FT columnist and personal finance expert Jason Butler as he interviews real people about their money journey and challenges and how they overcame them.,['en'],Jason Butler
962,21QIXpP4vtvuZsPtbfXDt7,Wealth Bootcamp®,"Wealth Bootcamp® is the entrepreneur's guide to building personal wealth.  We're an online community and platform helping entrepreneurs find answers, learn from each other's experiences, and receive guidance from the experts we invite on the show.    Hosted by Matt Lewis of Westbridge Wealth Management, Wealth Bootcamp® is a weekly podcast dedicated to serving the unique needs of entrepreneurs and small business owners.  To learn more about the show, related articles and materials, or if you would like a consultation on a particular issue, visit us at www.westbridgewealth.com.  By Matt Lewis, CFA, CAIA, Fiduciary Financial Advisor.",['en'],Matt Lewis
963,1xN5mg9TuhyZ5oYi68bgY5,The Curious Investor,"We break down some of the most important ideas in finance to help us make better investment decisions.  Disclaimer: This podcast was recorded in 2018.   The views expressed in this recording are the personal views of the participants as of the date indicated and do not necessarily reflect the views of AQR itself. AQR and its affiliates may have positions (long or short) or engage in securities transactions that are not consistent with the information and views expressed in this presentation. This recording has been prepared solely for informational purposes.  Nothing contained in this podcast constitutes investment, legal, tax or other advice, and it should not be viewed as a current or past recommendation or a solicitation of an offer to buy or sell any securities or to adopt any investment strategy.  Past performance is no guarantee of future results.  There can be no assurance that any investment strategy will be successful. The investment strategies and themes discussed herein may be unsuitable for investors depending on their specific investment objectives and financial situation. The information in this recording is based on current market conditions, which will fluctuate and may be superseded by subsequent market events or for other reasons. AQR does not assume any duty to update forward looking statements. The information in this recording has been developed internally and/or obtained from sources believed to be reliable; however, no representation or warranty, express or implied, is made or given by or on behalf of AQR as to the accuracy and completeness or fairness of the information contained in this recording.  Any liability as a result of this recording (including any direct, indirect, special or consequential loss or damage) is expressly disclaimed. ©2018 AQR Capital Management, LLC. All rights reserved.",['en'],"AQR Capital Management, LLC"
965,1WCxlY4Iyvsmwy5jRdj21N,The Online Prosperity Experience,"Prosper Taruvinga’s powerful Digital Marketing Strategies and actionable tactics that you can use right now have helped more than 50 000 people from over 10 countries to create meaningful businesses that are profitable and enjoyable.  Are you looking for more customers? Are you looking to take your business to the next level, develop stronger relationships with your employees, clients or suppliers, improve your finances or get people liking you before you try to sell them something?   The Online Prosperity Experience gives you access to Prosper’s proven Online Prosperity Blueprint. This is a 4 Step Marketing Strategy designed to help you accomplish your goals.  Whether you’re looking for insight into how to build a bigger business or position yourself as the go-to person in your category, you have access to all the tactics used by celebrities like David Hughes as well as (literally) over 450 small businesses and counting.  With an extensive selection of episodes featuring insightful lessons from Prosper, interviews with some of the most successful people in the world and never-before-released audio content from deep within the archives, you’ll find you can learn a great deal while listening during your morning commute or daily workout.  As Prosper says, “I am the guy you call when you are tired of thinking small” Get started today by choosing an episode that resonates with where you are right now and enables you to take your business to the next level.",['en'],Prosper Taruvinga
966,0xK5N4w6pKYMWzg5OFFrJf,Money & My Daughter,"A podcast helping young parents achieve their financial goals and grow their wealth.  I take personal finance topics like income, debt and investing and offer clear and simple ways young parents can understand and approach them to live their best financial lives.  Each episode includes a celebrity story that helps illustrate the ideas being shared.",['en-US'],Jared Lock
967,12sDlcGbyCgZBAkklIvVp0,Be Who You Want Tobe Without Apologizing,"Be Who & What You Want Tobe Without ApologizingStart planning and working on what and who you want to be without apologizing. You are the creator of your happiness. That means, not making a decision means…... you’re going to stay where you are. Nothing spectacular or meaningful happens in the comfort zone. People are waiting for you to be the person God Created you to be. Remember that.The two most powerful words you will use is I am….. Lets just ponder on that. I am is God, whatever you add to that you become. If you believe.“God said to Moses, “ I am who I am. This is what you are to say to the Israelites: ‘ I am has sent me to you.’ ” God also said to Moses, “Say to the Israelites, ‘The Lord, the God of your fathers—the God of Abraham, the God of Isaac and the God of Jacob—has sent me to you.’ “This is my name forever, the name you shall call me from generation to generation.”‭‭Exodus‬ ‭3:14-15‬ ‭NIV‬‬Today’s show sponsor: Larry Bennett, Personal Financial Educator Website: http://LNBennett.myecon.netEmail: LNBennett03@yahoo.com“Your Life Movie” eBook by Arnessa Bennett, MDivTo purchase go to: www.Arnessa.comOr call 501-993-2567www.facebook.com/Arnessawww.instagram.com/arnessabennett www.youtube.com/arnessabennett",['en'],The Arnessa Bennett Show
968,7w4gfzUmUfwH3asC7aoeva,BourbonOn,"Four middle aged dads drinking bourbon without the snobbery that can come along with great bourbon.  Learn about how it tastes, what to order when you're at a bar with co-workers, hear about dad stuff like college-aged kids, career moves, car advice and personal finance.  None of this is tested, just lived.",['en'],bourbonboys
969,3XsudvSL5vBn33QV038iAA,Black Millennials Invest,"Young professionals making smart money moves to establish and spread generational wealth. We talk about Gods plan for our wealth building, real estate, cryptocurrency, student loans and personal finance goals. Tune in every week for new guests who are building black wealth early 🖤.  Cover art photo provided by Thought Catalog on Unsplash: https://unsplash.com/@thoughtcatalog",['en'],Black Millennials Invest
970,5Mn2p3MoXfmwGurMkuTfgO,"Power, Purpose, & Passion with Anthony Cheam","This podcast is all about taking your life to the next level. Anthony Cheam will offer you tools and strategies for personal transformation. Whether it be financially, in your relationships, spiritually or your overall enjoyment of life, you will learn everything you need to know about upgrading all areas of life and feeling truly fulfilled and at peace along the way. To your continued upgrade and evolution, live it up with power, purpose and passion!",['en-US'],Anthony Cheam
971,0AOFKoXFeAGlBlTo4pVTjG,The Empowering Futures Podcast Network,"""Inside Financial Architects"" will focus on business news makers and client relationships while ""Living The LifeMethod"" features guests discussing personal vision, life events, and . how it all ties to The LifeMethod process. More info at www.financialarch.com and www.lifemethodcoach.com.",['en'],Matt Dery
972,4bBz46rbpw1VMO1XpNHMcI,Onevestor F1RST: Malayalam Money Podcast by Mahesh Mohan (@maheshone),"Hey everyone, I’m Mahesh — a full-time nerd who do what I like to do and loves what I’m doing. Onevestor F1RST is a Malayalam Money Podcast that features Investing (Equity Stocks, Share Market, Mutual Funds), Personal Finance (Savings, Banking, Investing, Credit Cards, Loans, Insurance, Real Estate, Retirement), and almost-all-things-money. The word ‘Onevestor’ is a portmanteau for ‘One Investor’ which essentially means a “retail investor” and that includes ‘me’ and probably ‘you’.",['en'],Mahesh Mohan
973,3IYU9YiSEM4CzG7Z7mCNO3,Get Well Soon,"Two women from Miami discuss their problems and personal stories on this podcast as a form of therapy. Join them as they talk about their love lives, financial issues, and everything else in between. ",['en-US'],Angela Maivas & Nathalia Merlano
974,256J3Xa3MZv6GaEae42fuR,Find Her Seat,"Join the dynamic duo, Jennifer Etter, BioField Therapist, Author, Yogi, Entrepreneur, Mom and Susan Mobley, Digital Marketing Executive, ""Dot Come"" Entrepreneur, Real estate Broker, and mom for a unique journey into Female Empowerment. With their combined 40 years of expertise, these two woman are just the Yin and Yang necessary to help bring balance into woman's lives, giving them space to finally find their seat at the table. The weekly episodes will awaken the power within as they work to locate and transform negative thought patterns, and self esteem while discussing the topics of career, beauty, business, finances and motherhood with intriguing interviews and storytelling by other leaders in those fields. It's time to step into the person you were meant to be! Women, it's time to Find Your Seat!",['en'],Jennifer Etter & Susan Mobley
977,2Yv4kv89HWSWj641fNEzSh,Bare Reviews,"Here at Bare Reviews Sean and Chris talk about all the different aspects of Personal Finance and Personal Growth. It is our mission to help spread the knowledge of Personal Finance to as many as possible, while helping people learn how to deal with life and grow into their best selves! #GETBIG Support this podcast: https://anchor.fm/bare-reviews/support",['en'],Bare Reviews
978,0BNIVZdXhwIKSGNV4sw5pa,Sunday Mornings With Dee Daniels,"Hosted by B101.5 personality Dee Daniels, Sunday Mornings is designed to inform, educate, and empower.  Guests share insights and knowledge on subjects ranging from family, work, health, relationships, finance, raising kids and more.  The show airs on B101.5 every Sunday at 8am, powered by Mary Washington Healthcare.",['en'],Dee Daniels
979,73hQ29j396y2cYs77bnXGr,Money Moves for Teens,"Hello, and welcome to Money Moves for Teens by Talia! I’m Talia, and I created this podcast because I think kids my age don’t get a good enough education on how to manage money. This is something we should be learning and talking about now so we’ll be better prepared for the future.   In this podcast, I’ll cover topics relating to personal finance, including saving, spending, and yes, making money. My hope is that by sharing this information, you will learn about it with me, and my podcast can act as an introduction/head start for you, as you start on your financial journey. I do all the research so you don't have to!  This podcast is for all teens who want to get good with money, or for their parents who want to have constructive conversations with their teens about it. Either way, I’m glad you found Money Moves for Teens by Talia, and I hope you enjoy!",['en'],Talia Levy
980,1CjeKFoNYrJdjKIwqO0XnO,Let’s Talk,"We talk about life and the things we face, overcome and push to achieve! Just life in general. We talk about problems we’ve faced and how to overcome them in finances, relationships, personal and professional development, mentally, and spiritually. Life is important and sometimes it is hard to to talk about it, so Let’s Talk!  Support this podcast: https://anchor.fm/ltpodcast/support",['en'],Let’s Talk
981,0VPpKLSRrzZhkRaVVVKZrM,Real Life Lending and Real Estate Podcast with Eric Elovski,"Real Life Real Lending and Real Estate were founded to provide consumers an honest and complete approach to their real estate needs. My 27 years in the real estate industry and knowledge of both Real Estate and Real Estate Finance help my clients realize the most value when buying or selling a personal residence or investment property. Originally from the Bay Area and a 20 year resident of El Dorado Hills my knowledge of both markets provides insight for my weekly radio show “Real Life Lending and Real Estate” now heard throughout Northern California on 3 different stations. With 300K listeners per week, my client's listings get the exposure they need to a larger demographic. This equates to a larger buyers pool and more value for my sellers. I look forward to meeting you and appreciate the opportunity to earn your business. Don't forget to listen to Real Life Lending and Real Estate.",['en-US'],Real Life Lending
982,2VvhPNgygSSwVn4hrmeSMb,Daily Stock Picks ,I'll do at least 1 Podcast per day detailing stocks that I've personally invested in and the reasons why.   My qualifications are that I'm a 49 year old retired former corporate Product/Marketing Manager who has managed to follow FIRE (Financial Independence Retire Early) principles and has managed to gain a multi million dollar ($) portfolio ,['en'],Gary Vaughan
983,0HCV6X2y0OAppr9H67YIkt,That Debt Guy,"Hi! I'm Cam H Lynch a.k.a. That Debt Guy. My website is all about teaching people about personal finance and businesses on how they can collect their own debts. This podcast is a mix of the two with listener questions, expert interviews, daily news, fun facts, listener wins and so much more - all with my unique brand of ""humor"" If you don't learn something or are at least entertained, I'll double your money back!",['en-AU'],Cam H Lynch
984,5x8YpCCCPq2Nm9Esy6TRky,Morin Okenla Show,"The Morin Okenla Show is a talk show anchored by Morin Okenla, a media entrepreneur, author, artist, graphic designer and skills coach. Morin uses personal experiences and inspirational guests to share success stories and insights into how entrepreneurs their businesses. Her goal is to help women to start up, scale and monetize their businesses through powerful branding and leverage income. So that, women can become more fulfilled and financially secure loving what they do. She does this through her books, blog, social media, art, talks, online courses, events and this podcast. ",['en'],mo okenla
985,3MZpS70qqhz1SgBlvPhkRg,Compa Chuy!,"Hello! I'm Jesús Bautista, a student of Finance, but I'm not the typical financial person! Follow me in my attempt to intersperse you! :D",['en-US'],Jesús Bautista
986,5Ik5f1yDfbRYpv55M8NQVO,"It's All About Real Estate: Residential, Commercial, & Opportunity Zones","Samjen Residential & Commercial Realty is a full-service real estate brokerage firm. We offer a wide range of services including: Residential Purchase and Sales, Commercial Purchase and Sales, Land Brokerage, Investment Properties, Development Services, and Opportunity Zone Advisors. With over 20 years of service and a personal commitment to understand the needs of our customers, our team of Real Estate Concierge will assist you every step of the way. We see real estate as more than a transaction—it’s an expression of the accomplishments, aspiration, and the financial sensibility that our customers rely on.  For more information or work with real estate professionals that are experienced and knowledgeable about Opportunity Zones, QOF’s, and QOFB’s, email us at: info@samjenrealty.com or visit our website at www.samjenrealty.com Like & Follow Us! https://www.facebook.com/samjenrealty https://twitter.com/SamjenRealty https://www.instagram.com/samjenrealty/  https://www.pinterest.com/samjenrealty/Support this podcast at — https://redcircle.com/crunch-time-for-opportunity-zones/donations",['en'],Samjen Residential & Commercial Realty
987,7yl6RWqvwb5f8iBnvy2HUG,Life with Dara,"Life with Dara is about Faith, Love, Life, Relationship with other people, finance, Personality Traits and other life issues. Please come along with me on this journey, I hope to make you laugh as much as I can, and be there if you need me. Yours in Love. Dara  I can also be reached via oluwafemimorayo@gmail.com",['en'],oluwafemi morayo
989,2UfNx2S4okbvJT8qffy74X,The Business Babe Podcast,"The Business Babe podcast by Lauren Eliz Love: Success Expert, Transformation Strategist, Business mentor, and the owner of a million dollar online empire.  For the woman dedicated to growing herself, leveling up, achieving big goals, and being the best version of herself.  Learn step by step how transform and BE the woman you always wanted to be and how to have it all financially, physically and internally.   Hear your daily dose of personal development, and growth on topics like personal development, business strategy, and spiritual practice.  for more visit badassbusinessbabe.com  ",['en'],Lauren Eliz Love
990,5HHLPX6oj0wQYH0AwOKmkv,Rhodes To Wealth,"Where does your path to financial freedom begin? Wealth building can be a misleading concept. A lot of information out there promotes get-rich-quick schemes or drives people to get into transactions they might otherwise never even take a second look at. Although having money and the ability to acquire things and pay the bills is great, we want you to build your wealth; that is, have the resources to create and take advantage of opportunities in life. Start your wealth-building journey with us here on the Rhodes To Wealth Podcast. Hosted by Joshua Rhodes, we bring you practical investing tips, entrepreneurship how-tos, and basic steps to building wealth that is simple to understand, helping you get you closer to financial freedom. Joshua Rhodes is the founder of Rhodes To Wealth, and the Rhodes To Wealth podcast, a platform set out to provide wealth-building advice, tips, and strategies from the world’s most successful wealth-building experts. As a first-generation graduate from Benedictine College, the idea and thought on how to ‘build wealth’ was not something that Joshua was shown much guidance in while growing up in Houston, Texas. Once out of college, Joshua found himself in an outside sales role in a leading cybersecurity company making more money than he knew what to do with. After a couple of years of simply saving his money, he went hunting for advice on what to do next. Instead of going the more traditional route of giving all his money to a financial advisor, he decided to take matters into his own hands and began searching for answers in books, articles, and experts. As Joshua dove into his ‘self-wealth’ building journey, he found himself a little lost due to the endless amount of ways a person can make money and grow their wealth. Each book he read and each class he came across had a different trick or scheme on how to make money, which always seemed to end with him handing over a couple of dollars of his own to their cause. Instead of investing in someone else's personal account, Joshua decided the best way for him to fully grasp wealth building was to invest in himself, and that is how Rhodes To Wealth was born. His goal in the Rhodes To Wealth platform and talking to wealth building experts is to help non-traditional wealth-building Millennials like himself who feel they have enough money to invest, but not enough knowledge to do it confidently, find a path that leads them to financial freedom - and hopefully early retirement. Wealth-building doesn’t happen overnight. Here on the Rhodes to Wealth Podcast, we’ll show you the steps to building wealth and teach you how you can discipline yourself to achieve your long-term goals. Featuring guests like Dorie Clark, a Top 50 Business Thinker in the world and the author of Entrepreneurial You: Monetize Your Expertise, Create Multiple Income Streams, and Thrive; Amos Schwartzfarb, the Managing Director of Techstars Austin and the author of Sell More Faster: The Ultimate Sales Playbook for Start-Ups; and Judy Robinett, a Startup Funding Expert and the author of Crack the Funding Code: How Investors Think and What They Need to Hear to Fund Your Startup, Joshua Rhodes and his esteemed guests will guide you on your wealth-building journey. Keep your eyes and ears to the ground in the market with wealth-building and financial strategies you never thought were possible. Start planning your finances and building your portfolio – and wealth! – with us here on Rhodes To Wealth!",['en'],Joshua Rhodes
991,0zMHXqpK0TAmWonfkqt0YY,Prudent Programmer,"The home of UK based personal finance podcast, providing tips and advice on investing, financial independence, sustainability and all things nerdy.",['en'],Stuart Cocks
993,1SxPrmJtPbnESAA8lZK3E3,Underground City Podcast,"Underground City Podcast is better explained when I tell you what it is not. We are not saying we are financial professionals and that our words are gold. We are not journalists with an experience in journalism. Nor are we intending for someone to think we are based on facts solely. We are a group of people that was raised in the hip hop culture. We’re a group of friends with some basic knowledge in various field with the intent to encourage self determination, self confidence, self awareness, and self improvement from our personal experiences. ",['en-US'],Antonio Johnson
994,0TzPS5uz6YTYBfJaeK5SZ9,minombresdany,"Hola ayudo a las personas a llevar sus finanzas personales en orden, de una manera fácil y entendible para todos, te quiero ver financieramente feliz",['en'],minombresdany
995,3EKZDAKv6zhyIWWSI5wQR4,Miracle Guidance for Everyday Life,"Let’s face it, life isn’t easy. If you’re stuck in a bad relationship, betrayed, afraid of tomorrow, financially insecure, or desperate for a breakthrough, you’ve come to the right place. Dr. Carmen Harra, renowned psychologist, intuitive, relationship expert, and best-selling author, is here to give you the miracle guidance you need.Her new call-in show, Miracle Guidance for Everyday Life, offers profound wisdom, practical advice, daily exercises, and empowering predictions, all for you! Dr. Harra’s show aims to eliminate everyday problems, big and small, with topics like:Spirituality:Embrace spiritual techniques that help you thrive, from the most powerful affirmations to potent rituals, calming meditations, and visualizations you can turn into reality.Relationships:Identify the greater purpose of your love relationship, heal as a couple, and strengthen your bond with your partner. If you’re single, find out when and how you’ll meet the love of your life.Crisis & Grief Relief:Feel at ease after a painful loss or separation with Dr. Harra’s coping mechanisms to get you out of depression and anxiety and towards resilience.Intuitive Guidance:Dr. Harra takes individual calls and personally guides you to the answers you’ve been seeking.Psychology:Understand why people behave in certain ways and how you can help them change for the better. Dr. Harra also teaches you how to train your brain to feel more joy, motivation, and clarity.Mediumship:Receive important, timely messages from the other side and master communication with your late loved ones on your own.Health:Learn about the latest breakthroughs in the fields of natural health and alternative medicine to keep your mind, body, and spirit sound.Numerology:Discover what your birthday reveals about your fate and future, as well as your compatibility with your significant other.Tune in to Miracle Guidance for Everyday Life every Tuesday at 7:00 PM EST / 4:00 PM PST on http://iOM.fm and take your first steps toward positive transformation!",['en'],iOM Radio Network - OMTimes
996,3YcwZOYYpFQIcManuMyzvD,The Shift,"Welcome to The Shift! If you find yourself looking to retire in the next 5 years or less, this podcast is for you.  Fifteen years working in the financial services world has offered some interesting, and invaluable insights into the world of personal finance and retirement planning, and the key decision points that separate success from failure as you make that critical transition from your working years to retirement.  Join along and ensure you're ability to retire with a greater sense of security, purpose, happiness, and fulfillment. ",['en-US'],Jason Rindskopf
998,6Qgv8UH8ljSdnspKWptjoe,The One With The Podcast,"Having never written a best selling book, sold a course on financial freedom or been a mindset coach - Ben pondered; ""why am I in business?"". Well, the opportunity to shamelessly promote his facial hair, write about himself in the 3rd person & speak to wonderful entrepreneurs, business owners & leaders the world over was an opportunity that couldn't be ignored. Through solo episodes & guest interviews, Ben (the one with the beard) explores all things business, content & mindset; equipping you with the tools that you need to raise both profits & standards in your business. ",['en'],Ben Moore
999,1VCQ8YXyDfzLas0DtQjJpz,Money Talks,"email: money@mpbonline.orgMoney Talks airs Tuesday mornings at 9 Central Time on MPB Think Radio and over the internet at mpbonline.orgMoney Talks focuses on personal finance as it applies to Mississippians. In any given week, we’ll talk about anything from preparing your taxes to saving for college or investing in the stock market. Our experts are Dr. Nancy Lottridge-Anderson, President of New Perspectives and Ryder Taff, portfolio manager at New Perspectives. Nancy and Ryder are both Chartered Financial Analysts and Ryder also holds the Certificate in Investment Performance Measurement from the CFA Institute. They join Kevin Farrell in the studio to answer your personal finance questions about family budgeting, retirement savings, Social Security, investments, debt management and more. See acast.com/privacy for privacy and opt-out information.",['en'],MPB Think Radio
1000,1WwLeT1SdqfyD8uGHVMLPB,GratefulHeart.Tv,"Seasoned Vet in the Real Estate Arena brings on guests weekly to: EDUCATE listeners about local Real Estate & personal financial matters, EMPOWER with knowledge to be able to make wise decisions, and ENGAGE with our expert contributors to get the kind of results expected once armed with that proper knowledge. Visit us on GratefulHeart.Tv !!!",['en'],Rebecca Hidalgo Rains
1001,41kl4JikyZoKvTDZN7Kpub,Your NYC Dollar,Practical personal finance placing you on a path to financial independence. ,['en-US'],Ben Greenback
1002,3g4vBhq5UVZVdjDc6r4p2r,Party Pooper Podcast,"We are a Canadian couple discussing serious and boring topics like personal finance, nutrition, vegan things, life insurance, yes! life insurance, and Alethia's fears ranging from cougars and earwigs to ""the big one"", you know, the big earthquake that will drag the entire West Coast of North America into the ocean?! We will be having adult conversations with a side of comedic relief and the occasional guest. We hope to get to know each other better and create some great conversations in collaboration with you the listener at home. ",['en-CA'],Alethia and Phill
1003,079VguvMhIKh1bgzZvfvF1,Midlife Money Gal,"Stephanie Sammons is an experienced fee-only financial planner and wealth manager guiding women professionals in midlife to and through retirement. If you're within 5 to 15 years from retirement, you're in the right place! Stephanie believes that financial security in retirement is paramount, but planning for your personal growth, professional contributions, and positive well-being can also lead to greater fulfillment as you age. Tune in to hear valuable guidance on designing your ideal retirement for tomorrow while living your best midlife today.",['en'],Stephanie Sammons CFP®
1004,4aAqACI1rTRq35KowVxZas,Tea Kettle ,"Personal Views on Politics, Finances, Spirituality, & the latest Gossip ",['en-US'],Mello
1005,1h1ZNditCUFHuUAZgxCiBq,30 Min Therapy,"We are on a mission: To help you to become the person that you know that you can become! Co-hosted by a professional therapist, and a business owner. Topics are: #Narcissism, emotional, verbal, financial, and sexual abuse. Self esteem, #entrepreneurs, #parenting, #bullying, encouragement, understanding men or women. Fascinating topics, we even hold contests to make it fun! Our show will engage you, and make you think. Infused with humor, shocking elements, and profound truths. You will want to share our show with friends and family! #emotionalabuse #verbalabuse #selfesteem ",['en'],30 Min Therapy
1006,3OhUWgGiUxsTvUCrGUCPG3,The Watchlist Podcast,"The Watchlist Podcasts offers in the moment live trading and personal results and risks, as well as educating strategies for the stock market and daily life in terms of wealth. The podcast is for all ages but mainly focuses on the point of view out of High School and College students who are looking to grow financially and change their life. Throughout the Podcast we both will see how the stock market can truly change our finances, and see if we can truly multiply our money. Learning early is great and having the right mindset before just jumping into a stock can save you from losing everything, if this sounds interesting this Podcast might be just for you. Welcome to the Watchlist!",['en'],Jeremy Diaz
1008,7BwEFRHFcIQpFNXOOhXRRu,SIMPLE STUFF,"Explaining concepts in business, finance, property and startups that I come across in my day-to-day business Vendorable.com and my personal / angel investing I do.",['en-AU'],Jason Weeks
1009,7wskJB45DgbXFR6ieVHahL,Millennial VS. Machine,"Join Courtney King as she shares her journey of how she got someone else to pay off her student loan debt and teaches you to do the same! While so many people complain about the student loan debt crisis, she proposes a practical solution that she personally used and continues to use to live financially free!",['en'],Courtney King
1010,64arpYoel6NQlE6nM95XXX,Moneyjojo Personal Finance,Moneyjojo personal finance podcast gives you straight forward tips on making money and saving money.,['en-GB'],Moneyjojo
1011,3htKaY74QM2E43JPyCDxeX,The Money Script,"The Money Script is here to bring you new perspectives on basic financial principles to help you grow your financial literacy. The information is out there, many just don’t know how to access it, so we bring it to you.   Schedule your complimentary consultation MoneyScriptWealth.comDue to various factors, including changing market conditions and/or applicable laws, the content may no longer be reflective of current opinions or positions. Moreover, you should not assume that any discussion or information contained in this media serves as the receipt of, or as a substitute for, personalized investment advice from The Money Script, LLC. To the extent that a listener has any questions regarding the applicability of any specific issue discussed above to his/her individual situation, he/she is encouraged to consult with the professional advisor of his/her choosing. The Money Script, LLC is neither a law firm nor a certified public accounting firm and no portion of the article’s content should be construed as legal or accounting advice. A copy of the Money Script Wealth Management, PLLC.’s current written disclosure statement discussing our advisory services and fees is available upon request. www.moneyscriptwealth.com",['en'],Yohance Harrison
1013,3FuNhk6DhIRKU3gXO7urtx,Millenary Matrix,"Are you sick and tired of wondering where your money goes! Going thru life as if you have no control, whilst Paying debt after debt, living paycheck to paycheck with no end in sight. Well I'm here to tell you, that your not alone. Their is a light at the end of that tunnel! BUT, it's all dependent on you. I'm here to tell you that financial freedom is possible. It all begins with you and your version of ""personal Finance"".  Support this podcast: https://anchor.fm/Millenary-Matrix/support",['en-US'],Dairo Castro
1014,53ggnWMJWtyiiduV5DEIJv,The Revenue Show with SOD,"Samuel Ofoe Dotse reveals all of his business and marketing strategies, and revenue-generating techniques so you can profitably start, sustain and skyrocket your business. Discover how you can create revenue streams so you can have that financial freedom, live on your terms, give back, and make the world a better place. You'll uncover social media strategies, build a profitable personal brand, content marketing, traffic strategies to fuel your business and stay ahead of the competition. You don't want to miss all the interviews, and the solo episodes from SOD. Hit subscribe and let's roll",['en'],Samuel Ofoe Dotse
